index	SUBID_tissue	SUBJID
38	GTEX-111VG_Skin	GTEX-111VG
39	GTEX-111VG_Heart	GTEX-111VG
40	GTEX-111VG_Thyroid	GTEX-111VG
41	GTEX-111VG_Lung	GTEX-111VG
42	GTEX-111VG_Testis	GTEX-111VG
43	GTEX-111VG_Colon	GTEX-111VG
44	GTEX-111VG_Adipose_Tissue	GTEX-111VG
45	GTEX-111VG_Nerve	GTEX-111VG
46	GTEX-111VG_Muscle	GTEX-111VG
47	GTEX-111YS_Blood	GTEX-111YS
48	GTEX-111YS_Skin	GTEX-111YS
49	GTEX-111YS_Adrenal_Gland	GTEX-111YS
50	GTEX-111YS_Heart	GTEX-111YS
51	GTEX-111YS_Blood_Vessel	GTEX-111YS
52	GTEX-111YS_Lung	GTEX-111YS
53	GTEX-111YS_Thyroid	GTEX-111YS
54	GTEX-111YS_Esophagus	GTEX-111YS
55	GTEX-111YS_Stomach	GTEX-111YS
56	GTEX-111YS_Pancreas	GTEX-111YS
57	GTEX-111YS_Adipose_Tissue	GTEX-111YS
58	GTEX-111YS_Small_Intestine	GTEX-111YS
59	GTEX-111YS_Colon	GTEX-111YS
60	GTEX-111YS_Prostate	GTEX-111YS
61	GTEX-111YS_Breast	GTEX-111YS
62	GTEX-111YS_Testis	GTEX-111YS
63	GTEX-111YS_Nerve	GTEX-111YS
64	GTEX-111YS_Muscle	GTEX-111YS
65	GTEX-1122O_Blood	GTEX-1122O
66	GTEX-1122O_Skin	GTEX-1122O
67	GTEX-1122O_Lung	GTEX-1122O
68	GTEX-1122O_Thyroid	GTEX-1122O
69	GTEX-1122O_Adrenal_Gland	GTEX-1122O
70	GTEX-1122O_Blood_Vessel	GTEX-1122O
71	GTEX-1122O_Spleen	GTEX-1122O
72	GTEX-1122O_Heart	GTEX-1122O
73	GTEX-1122O_Pancreas	GTEX-1122O
74	GTEX-1122O_Adipose_Tissue	GTEX-1122O
75	GTEX-1122O_Breast	GTEX-1122O
76	GTEX-1122O_Small_Intestine	GTEX-1122O
77	GTEX-1122O_Colon	GTEX-1122O
78	GTEX-1122O_Esophagus	GTEX-1122O
79	GTEX-1122O_Stomach	GTEX-1122O
80	GTEX-1122O_Muscle	GTEX-1122O
81	GTEX-1128S_Blood	GTEX-1128S
82	GTEX-1128S_Skin	GTEX-1128S
83	GTEX-1128S_Thyroid	GTEX-1128S
84	GTEX-1128S_Blood_Vessel	GTEX-1128S
85	GTEX-1128S_Lung	GTEX-1128S
86	GTEX-1128S_Pancreas	GTEX-1128S
87	GTEX-1128S_Adipose_Tissue	GTEX-1128S
88	GTEX-1128S_Colon	GTEX-1128S
89	GTEX-1128S_Muscle	GTEX-1128S
90	GTEX-1128S_Pituitary	GTEX-1128S
91	GTEX-1128S_Brain	GTEX-1128S
97	GTEX-113JC_Blood	GTEX-113JC
98	GTEX-113JC_Skin	GTEX-113JC
99	GTEX-113JC_Thyroid	GTEX-113JC
100	GTEX-113JC_Adipose_Tissue	GTEX-113JC
101	GTEX-113JC_Esophagus	GTEX-113JC
102	GTEX-113JC_Vagina	GTEX-113JC
103	GTEX-113JC_Uterus	GTEX-113JC
104	GTEX-113JC_Muscle	GTEX-113JC
105	GTEX-113JC_Pituitary	GTEX-113JC
106	GTEX-117XS_Blood	GTEX-117XS
107	GTEX-117XS_Skin	GTEX-117XS
108	GTEX-117XS_Blood_Vessel	GTEX-117XS
109	GTEX-117XS_Thyroid	GTEX-117XS
110	GTEX-117XS_Heart	GTEX-117XS
111	GTEX-117XS_Breast	GTEX-117XS
112	GTEX-117XS_Testis	GTEX-117XS
113	GTEX-117XS_Colon	GTEX-117XS
114	GTEX-117XS_Muscle	GTEX-117XS
115	GTEX-117XS_Pituitary	GTEX-117XS
116	GTEX-117XS_Brain	GTEX-117XS
117	GTEX-117YW_Blood	GTEX-117YW
118	GTEX-117YW_Skin	GTEX-117YW
119	GTEX-117YW_Thyroid	GTEX-117YW
120	GTEX-117YW_Blood_Vessel	GTEX-117YW
121	GTEX-117YW_Heart	GTEX-117YW
122	GTEX-117YW_Lung	GTEX-117YW
123	GTEX-117YW_Adipose_Tissue	GTEX-117YW
124	GTEX-117YW_Prostate	GTEX-117YW
125	GTEX-117YW_Testis	GTEX-117YW
126	GTEX-117YW_Colon	GTEX-117YW
127	GTEX-117YW_Esophagus	GTEX-117YW
128	GTEX-117YW_Stomach	GTEX-117YW
129	GTEX-117YW_Muscle	GTEX-117YW
130	GTEX-117YW_Pituitary	GTEX-117YW
131	GTEX-117YX_Adrenal_Gland	GTEX-117YX
132	GTEX-117YX_Pancreas	GTEX-117YX
133	GTEX-117YX_Small_Intestine	GTEX-117YX
134	GTEX-117YX_Colon	GTEX-117YX
135	GTEX-117YX_Heart	GTEX-117YX
136	GTEX-117YX_Adipose_Tissue	GTEX-117YX
137	GTEX-117YX_Stomach	GTEX-117YX
138	GTEX-117YX_Thyroid	GTEX-117YX
139	GTEX-117YX_Lung	GTEX-117YX
140	GTEX-117YX_Breast	GTEX-117YX
141	GTEX-117YX_Prostate	GTEX-117YX
142	GTEX-117YX_Blood_Vessel	GTEX-117YX
143	GTEX-117YX_Esophagus	GTEX-117YX
144	GTEX-117YX_Skin	GTEX-117YX
145	GTEX-117YX_Testis	GTEX-117YX
146	GTEX-117YX_Spleen	GTEX-117YX
147	GTEX-117YX_Nerve	GTEX-117YX
148	GTEX-117YX_Muscle	GTEX-117YX
149	GTEX-1192W_Blood	GTEX-1192W
150	GTEX-1192W_Skin	GTEX-1192W
151	GTEX-1192W_Thyroid	GTEX-1192W
152	GTEX-1192W_Heart	GTEX-1192W
153	GTEX-1192W_Pituitary	GTEX-1192W
167	GTEX-11DXW_Blood	GTEX-11DXW
168	GTEX-11DXW_Skin	GTEX-11DXW
169	GTEX-11DXW_Brain	GTEX-11DXW
170	GTEX-11DXW_Adipose_Tissue	GTEX-11DXW
171	GTEX-11DXW_Nerve	GTEX-11DXW
172	GTEX-11DXW_Blood_Vessel	GTEX-11DXW
173	GTEX-11DXW_Breast	GTEX-11DXW
174	GTEX-11DXW_Muscle	GTEX-11DXW
175	GTEX-11DXW_Pituitary	GTEX-11DXW
195	GTEX-11DXY_Blood	GTEX-11DXY
196	GTEX-11DXY_Skin	GTEX-11DXY
197	GTEX-11DXY_Brain	GTEX-11DXY
198	GTEX-11DXY_Testis	GTEX-11DXY
199	GTEX-11DXY_Adipose_Tissue	GTEX-11DXY
200	GTEX-11DXY_Thyroid	GTEX-11DXY
201	GTEX-11DXY_Liver	GTEX-11DXY
202	GTEX-11DXY_Heart	GTEX-11DXY
203	GTEX-11DXY_Blood_Vessel	GTEX-11DXY
204	GTEX-11DXY_Esophagus	GTEX-11DXY
205	GTEX-11DXY_Adrenal_Gland	GTEX-11DXY
206	GTEX-11DXY_Colon	GTEX-11DXY
207	GTEX-11DXY_Breast	GTEX-11DXY
208	GTEX-11DXY_Muscle	GTEX-11DXY
209	GTEX-11DXY_Pituitary	GTEX-11DXY
210	GTEX-11DXZ_Blood	GTEX-11DXZ
211	GTEX-11DXZ_Liver	GTEX-11DXZ
212	GTEX-11DXZ_Adrenal_Gland	GTEX-11DXZ
213	GTEX-11DXZ_Heart	GTEX-11DXZ
214	GTEX-11DXZ_Blood_Vessel	GTEX-11DXZ
215	GTEX-11DXZ_Lung	GTEX-11DXZ
216	GTEX-11DXZ_Thyroid	GTEX-11DXZ
217	GTEX-11DXZ_Esophagus	GTEX-11DXZ
218	GTEX-11DXZ_Small_Intestine	GTEX-11DXZ
219	GTEX-11DXZ_Adipose_Tissue	GTEX-11DXZ
220	GTEX-11DXZ_Colon	GTEX-11DXZ
221	GTEX-11DXZ_Prostate	GTEX-11DXZ
222	GTEX-11DXZ_Breast	GTEX-11DXZ
223	GTEX-11DXZ_Skin	GTEX-11DXZ
224	GTEX-11DXZ_Testis	GTEX-11DXZ
225	GTEX-11DXZ_Muscle	GTEX-11DXZ
226	GTEX-11DXZ_Nerve	GTEX-11DXZ
227	GTEX-11DYG_Blood	GTEX-11DYG
228	GTEX-11DYG_Skin	GTEX-11DYG
229	GTEX-11DYG_Brain	GTEX-11DYG
230	GTEX-11DYG_Nerve	GTEX-11DYG
231	GTEX-11DYG_Thyroid	GTEX-11DYG
232	GTEX-11DYG_Blood_Vessel	GTEX-11DYG
233	GTEX-11DYG_Heart	GTEX-11DYG
234	GTEX-11DYG_Esophagus	GTEX-11DYG
235	GTEX-11DYG_Adipose_Tissue	GTEX-11DYG
236	GTEX-11DYG_Prostate	GTEX-11DYG
237	GTEX-11DYG_Pituitary	GTEX-11DYG
238	GTEX-11DZ1_Skin	GTEX-11DZ1
239	GTEX-11DZ1_Brain	GTEX-11DZ1
240	GTEX-11DZ1_Adipose_Tissue	GTEX-11DZ1
241	GTEX-11DZ1_Breast	GTEX-11DZ1
242	GTEX-11DZ1_Lung	GTEX-11DZ1
243	GTEX-11DZ1_Muscle	GTEX-11DZ1
244	GTEX-11DZ1_Esophagus	GTEX-11DZ1
245	GTEX-11DZ1_Thyroid	GTEX-11DZ1
261	GTEX-11EM3_Blood	GTEX-11EM3
262	GTEX-11EM3_Thyroid	GTEX-11EM3
263	GTEX-11EM3_Blood_Vessel	GTEX-11EM3
264	GTEX-11EM3_Adrenal_Gland	GTEX-11EM3
265	GTEX-11EM3_Heart	GTEX-11EM3
266	GTEX-11EM3_Esophagus	GTEX-11EM3
267	GTEX-11EM3_Stomach	GTEX-11EM3
268	GTEX-11EM3_Adipose_Tissue	GTEX-11EM3
269	GTEX-11EM3_Skin	GTEX-11EM3
270	GTEX-11EM3_Breast	GTEX-11EM3
271	GTEX-11EM3_Colon	GTEX-11EM3
272	GTEX-11EM3_Ovary	GTEX-11EM3
273	GTEX-11EM3_Vagina	GTEX-11EM3
274	GTEX-11EM3_Uterus	GTEX-11EM3
275	GTEX-11EM3_Muscle	GTEX-11EM3
294	GTEX-11EQ8_Blood	GTEX-11EQ8
295	GTEX-11EQ8_Skin	GTEX-11EQ8
296	GTEX-11EQ8_Adipose_Tissue	GTEX-11EQ8
297	GTEX-11EQ8_Blood_Vessel	GTEX-11EQ8
298	GTEX-11EQ8_Muscle	GTEX-11EQ8
299	GTEX-11EQ8_Thyroid	GTEX-11EQ8
300	GTEX-11EQ8_Heart	GTEX-11EQ8
301	GTEX-11EQ8_Testis	GTEX-11EQ8
302	GTEX-11EQ8_Colon	GTEX-11EQ8
337	GTEX-11GSO_Blood	GTEX-11GSO
338	GTEX-11GSO_Brain	GTEX-11GSO
339	GTEX-11GSO_Adipose_Tissue	GTEX-11GSO
340	GTEX-11GSO_Thyroid	GTEX-11GSO
341	GTEX-11GSO_Breast	GTEX-11GSO
342	GTEX-11GSO_Skin	GTEX-11GSO
343	GTEX-11GSO_Muscle	GTEX-11GSO
344	GTEX-11GSO_Nerve	GTEX-11GSO
345	GTEX-11GSO_Pituitary	GTEX-11GSO
367	GTEX-11H98_Skin	GTEX-11H98
368	GTEX-11H98_Brain	GTEX-11H98
369	GTEX-11H98_Adipose_Tissue	GTEX-11H98
370	GTEX-11H98_Muscle	GTEX-11H98
371	GTEX-11H98_Nerve	GTEX-11H98
372	GTEX-11I78_Blood	GTEX-11I78
373	GTEX-11I78_Skin	GTEX-11I78
374	GTEX-11I78_Lung	GTEX-11I78
375	GTEX-11I78_Adipose_Tissue	GTEX-11I78
376	GTEX-11I78_Thyroid	GTEX-11I78
377	GTEX-11I78_Pancreas	GTEX-11I78
378	GTEX-11I78_Blood_Vessel	GTEX-11I78
379	GTEX-11I78_Heart	GTEX-11I78
380	GTEX-11I78_Small_Intestine	GTEX-11I78
381	GTEX-11I78_Colon	GTEX-11I78
382	GTEX-11I78_Esophagus	GTEX-11I78
383	GTEX-11I78_Stomach	GTEX-11I78
384	GTEX-11I78_Adrenal_Gland	GTEX-11I78
385	GTEX-11I78_Ovary	GTEX-11I78
386	GTEX-11I78_Vagina	GTEX-11I78
387	GTEX-11I78_Uterus	GTEX-11I78
388	GTEX-11I78_Breast	GTEX-11I78
389	GTEX-11I78_Muscle	GTEX-11I78
390	GTEX-11LCK_Blood	GTEX-11LCK
391	GTEX-11LCK_Skin	GTEX-11LCK
392	GTEX-11LCK_Spleen	GTEX-11LCK
393	GTEX-11LCK_Pancreas	GTEX-11LCK
394	GTEX-11LCK_Adipose_Tissue	GTEX-11LCK
395	GTEX-11LCK_Lung	GTEX-11LCK
396	GTEX-11LCK_Thyroid	GTEX-11LCK
397	GTEX-11LCK_Blood_Vessel	GTEX-11LCK
398	GTEX-11LCK_Heart	GTEX-11LCK
399	GTEX-11LCK_Muscle	GTEX-11LCK
400	GTEX-11LCK_Nerve	GTEX-11LCK
401	GTEX-11LCK_Esophagus	GTEX-11LCK
402	GTEX-11LCK_Small_Intestine	GTEX-11LCK
403	GTEX-11LCK_Colon	GTEX-11LCK
404	GTEX-11LCK_Testis	GTEX-11LCK
405	GTEX-11LCK_Breast	GTEX-11LCK
406	GTEX-11NSD_Skin	GTEX-11NSD
407	GTEX-11NSD_Thyroid	GTEX-11NSD
408	GTEX-11NSD_Adrenal_Gland	GTEX-11NSD
409	GTEX-11NSD_Lung	GTEX-11NSD
410	GTEX-11NSD_Spleen	GTEX-11NSD
411	GTEX-11NSD_Pancreas	GTEX-11NSD
412	GTEX-11NSD_Prostate	GTEX-11NSD
413	GTEX-11NSD_Breast	GTEX-11NSD
414	GTEX-11NSD_Testis	GTEX-11NSD
415	GTEX-11NSD_Esophagus	GTEX-11NSD
416	GTEX-11NSD_Stomach	GTEX-11NSD
417	GTEX-11NSD_Colon	GTEX-11NSD
418	GTEX-11NSD_Small_Intestine	GTEX-11NSD
419	GTEX-11NSD_Nerve	GTEX-11NSD
420	GTEX-11NSD_Muscle	GTEX-11NSD
421	GTEX-11NUK_Blood	GTEX-11NUK
422	GTEX-11NUK_Skin	GTEX-11NUK
423	GTEX-11NUK_Brain	GTEX-11NUK
424	GTEX-11NUK_Muscle	GTEX-11NUK
425	GTEX-11NUK_Adipose_Tissue	GTEX-11NUK
426	GTEX-11NUK_Nerve	GTEX-11NUK
427	GTEX-11NUK_Blood_Vessel	GTEX-11NUK
428	GTEX-11NUK_Lung	GTEX-11NUK
429	GTEX-11NUK_Heart	GTEX-11NUK
430	GTEX-11NUK_Thyroid	GTEX-11NUK
431	GTEX-11NUK_Liver	GTEX-11NUK
432	GTEX-11NUK_Esophagus	GTEX-11NUK
433	GTEX-11NUK_Stomach	GTEX-11NUK
434	GTEX-11NUK_Testis	GTEX-11NUK
435	GTEX-11NUK_Pituitary	GTEX-11NUK
436	GTEX-11NV4_Blood	GTEX-11NV4
437	GTEX-11NV4_Skin	GTEX-11NV4
438	GTEX-11NV4_Brain	GTEX-11NV4
439	GTEX-11NV4_Muscle	GTEX-11NV4
440	GTEX-11NV4_Blood_Vessel	GTEX-11NV4
441	GTEX-11NV4_Thyroid	GTEX-11NV4
442	GTEX-11NV4_Heart	GTEX-11NV4
443	GTEX-11NV4_Lung	GTEX-11NV4
444	GTEX-11NV4_Liver	GTEX-11NV4
445	GTEX-11NV4_Adipose_Tissue	GTEX-11NV4
446	GTEX-11NV4_Testis	GTEX-11NV4
447	GTEX-11NV4_Salivary_Gland	GTEX-11NV4
448	GTEX-11NV4_Breast	GTEX-11NV4
449	GTEX-11NV4_Pituitary	GTEX-11NV4
450	GTEX-11O72_Blood	GTEX-11O72
451	GTEX-11O72_Skin	GTEX-11O72
452	GTEX-11O72_Brain	GTEX-11O72
453	GTEX-11O72_Adipose_Tissue	GTEX-11O72
454	GTEX-11O72_Muscle	GTEX-11O72
455	GTEX-11O72_Blood_Vessel	GTEX-11O72
456	GTEX-11O72_Nerve	GTEX-11O72
457	GTEX-11O72_Testis	GTEX-11O72
458	GTEX-11O72_Heart	GTEX-11O72
459	GTEX-11O72_Lung	GTEX-11O72
460	GTEX-11O72_Esophagus	GTEX-11O72
461	GTEX-11O72_Breast	GTEX-11O72
462	GTEX-11O72_Colon	GTEX-11O72
463	GTEX-11O72_Thyroid	GTEX-11O72
464	GTEX-11O72_Prostate	GTEX-11O72
465	GTEX-11O72_Pituitary	GTEX-11O72
466	GTEX-11OC5_Blood	GTEX-11OC5
467	GTEX-11OC5_Skin	GTEX-11OC5
468	GTEX-11OC5_Muscle	GTEX-11OC5
469	GTEX-11OC5_Blood_Vessel	GTEX-11OC5
470	GTEX-11OC5_Nerve	GTEX-11OC5
471	GTEX-11OC5_Brain	GTEX-11OC5
472	GTEX-11OF3_Blood	GTEX-11OF3
473	GTEX-11OF3_Skin	GTEX-11OF3
474	GTEX-11OF3_Brain	GTEX-11OF3
475	GTEX-11OF3_Thyroid	GTEX-11OF3
476	GTEX-11OF3_Liver	GTEX-11OF3
477	GTEX-11OF3_Adipose_Tissue	GTEX-11OF3
478	GTEX-11OF3_Lung	GTEX-11OF3
479	GTEX-11OF3_Prostate	GTEX-11OF3
480	GTEX-11OF3_Testis	GTEX-11OF3
481	GTEX-11OF3_Breast	GTEX-11OF3
482	GTEX-11OF3_Esophagus	GTEX-11OF3
483	GTEX-11OF3_Muscle	GTEX-11OF3
484	GTEX-11OF3_Pituitary	GTEX-11OF3
499	GTEX-11P7K_Blood	GTEX-11P7K
500	GTEX-11P7K_Skin	GTEX-11P7K
501	GTEX-11P7K_Adrenal_Gland	GTEX-11P7K
502	GTEX-11P7K_Thyroid	GTEX-11P7K
503	GTEX-11P7K_Lung	GTEX-11P7K
504	GTEX-11P7K_Spleen	GTEX-11P7K
505	GTEX-11P7K_Pancreas	GTEX-11P7K
506	GTEX-11P7K_Prostate	GTEX-11P7K
507	GTEX-11P7K_Breast	GTEX-11P7K
508	GTEX-11P7K_Adipose_Tissue	GTEX-11P7K
509	GTEX-11P7K_Testis	GTEX-11P7K
510	GTEX-11P7K_Esophagus	GTEX-11P7K
511	GTEX-11P7K_Colon	GTEX-11P7K
512	GTEX-11P7K_Small_Intestine	GTEX-11P7K
513	GTEX-11P7K_Stomach	GTEX-11P7K
514	GTEX-11P7K_Muscle	GTEX-11P7K
515	GTEX-11P7K_Nerve	GTEX-11P7K
516	GTEX-11P7K_Blood_Vessel	GTEX-11P7K
549	GTEX-11PRG_Blood	GTEX-11PRG
550	GTEX-11PRG_Skin	GTEX-11PRG
551	GTEX-11PRG_Brain	GTEX-11PRG
552	GTEX-11PRG_Nerve	GTEX-11PRG
553	GTEX-11PRG_Muscle	GTEX-11PRG
554	GTEX-11PRG_Adipose_Tissue	GTEX-11PRG
555	GTEX-11PRG_Breast	GTEX-11PRG
556	GTEX-11PRG_Lung	GTEX-11PRG
557	GTEX-11PRG_Colon	GTEX-11PRG
576	GTEX-11TTK_Blood	GTEX-11TTK
577	GTEX-11TTK_Skin	GTEX-11TTK
578	GTEX-11TTK_Brain	GTEX-11TTK
579	GTEX-11TTK_Adipose_Tissue	GTEX-11TTK
580	GTEX-11TTK_Muscle	GTEX-11TTK
581	GTEX-11TTK_Nerve	GTEX-11TTK
582	GTEX-11TTK_Thyroid	GTEX-11TTK
583	GTEX-11TTK_Colon	GTEX-11TTK
584	GTEX-11TTK_Vagina	GTEX-11TTK
603	GTEX-11UD1_Skin	GTEX-11UD1
604	GTEX-11UD1_Brain	GTEX-11UD1
605	GTEX-11UD1_Adipose_Tissue	GTEX-11UD1
606	GTEX-11UD1_Muscle	GTEX-11UD1
607	GTEX-11UD2_Blood	GTEX-11UD2
608	GTEX-11UD2_Skin	GTEX-11UD2
609	GTEX-11UD2_Brain	GTEX-11UD2
610	GTEX-11UD2_Adipose_Tissue	GTEX-11UD2
611	GTEX-11UD2_Muscle	GTEX-11UD2
612	GTEX-11UD2_Nerve	GTEX-11UD2
613	GTEX-11UD2_Blood_Vessel	GTEX-11UD2
614	GTEX-11UD2_Thyroid	GTEX-11UD2
615	GTEX-11UD2_Lung	GTEX-11UD2
616	GTEX-11UD2_Heart	GTEX-11UD2
617	GTEX-11UD2_Esophagus	GTEX-11UD2
618	GTEX-11VI4_Blood	GTEX-11VI4
619	GTEX-11VI4_Spleen	GTEX-11VI4
620	GTEX-11VI4_Thyroid	GTEX-11VI4
621	GTEX-11VI4_Stomach	GTEX-11VI4
622	GTEX-11VI4_Pancreas	GTEX-11VI4
623	GTEX-11VI4_Esophagus	GTEX-11VI4
624	GTEX-11VI4_Vagina	GTEX-11VI4
625	GTEX-11VI4_Ovary	GTEX-11VI4
626	GTEX-11VI4_Skin	GTEX-11VI4
627	GTEX-11VI4_Adipose_Tissue	GTEX-11VI4
628	GTEX-11VI4_Colon	GTEX-11VI4
629	GTEX-11VI4_Small_Intestine	GTEX-11VI4
630	GTEX-11VI4_Muscle	GTEX-11VI4
631	GTEX-11VI4_Blood_Vessel	GTEX-11VI4
632	GTEX-11VI4_Nerve	GTEX-11VI4
633	GTEX-11WQC_Blood	GTEX-11WQC
634	GTEX-11WQC_Skin	GTEX-11WQC
635	GTEX-11WQC_Brain	GTEX-11WQC
636	GTEX-11WQC_Lung	GTEX-11WQC
637	GTEX-11WQC_Liver	GTEX-11WQC
638	GTEX-11WQC_Breast	GTEX-11WQC
639	GTEX-11WQC_Testis	GTEX-11WQC
640	GTEX-11WQC_Adipose_Tissue	GTEX-11WQC
641	GTEX-11WQC_Muscle	GTEX-11WQC
642	GTEX-11WQC_Blood_Vessel	GTEX-11WQC
643	GTEX-11WQC_Nerve	GTEX-11WQC
644	GTEX-11WQK_Blood	GTEX-11WQK
645	GTEX-11WQK_Skin	GTEX-11WQK
646	GTEX-11WQK_Brain	GTEX-11WQK
647	GTEX-11WQK_Heart	GTEX-11WQK
648	GTEX-11WQK_Blood_Vessel	GTEX-11WQK
649	GTEX-11WQK_Muscle	GTEX-11WQK
650	GTEX-11WQK_Lung	GTEX-11WQK
651	GTEX-11WQK_Adipose_Tissue	GTEX-11WQK
652	GTEX-11WQK_Esophagus	GTEX-11WQK
653	GTEX-11WQK_Breast	GTEX-11WQK
654	GTEX-11WQK_Stomach	GTEX-11WQK
655	GTEX-11WQK_Prostate	GTEX-11WQK
656	GTEX-11WQK_Testis	GTEX-11WQK
657	GTEX-11WQK_Salivary_Gland	GTEX-11WQK
658	GTEX-11WQK_Pituitary	GTEX-11WQK
659	GTEX-11XUK_Blood	GTEX-11XUK
660	GTEX-11XUK_Skin	GTEX-11XUK
661	GTEX-11XUK_Adrenal_Gland	GTEX-11XUK
662	GTEX-11XUK_Thyroid	GTEX-11XUK
663	GTEX-11XUK_Spleen	GTEX-11XUK
664	GTEX-11XUK_Pancreas	GTEX-11XUK
665	GTEX-11XUK_Esophagus	GTEX-11XUK
666	GTEX-11XUK_Vagina	GTEX-11XUK
667	GTEX-11XUK_Small_Intestine	GTEX-11XUK
668	GTEX-11XUK_Ovary	GTEX-11XUK
669	GTEX-11XUK_Adipose_Tissue	GTEX-11XUK
670	GTEX-11XUK_Muscle	GTEX-11XUK
671	GTEX-11XUK_Nerve	GTEX-11XUK
672	GTEX-11XUK_Blood_Vessel	GTEX-11XUK
673	GTEX-11ZTS_Blood	GTEX-11ZTS
674	GTEX-11ZTS_Skin	GTEX-11ZTS
675	GTEX-11ZTS_Brain	GTEX-11ZTS
676	GTEX-11ZTS_Adipose_Tissue	GTEX-11ZTS
677	GTEX-11ZTS_Blood_Vessel	GTEX-11ZTS
678	GTEX-11ZTS_Muscle	GTEX-11ZTS
679	GTEX-11ZTS_Thyroid	GTEX-11ZTS
680	GTEX-11ZTS_Lung	GTEX-11ZTS
681	GTEX-11ZTS_Liver	GTEX-11ZTS
682	GTEX-11ZTS_Colon	GTEX-11ZTS
683	GTEX-11ZTS_Ovary	GTEX-11ZTS
684	GTEX-11ZTS_Uterus	GTEX-11ZTS
685	GTEX-11ZTS_Esophagus	GTEX-11ZTS
686	GTEX-11ZTS_Salivary_Gland	GTEX-11ZTS
687	GTEX-11ZTS_Pituitary	GTEX-11ZTS
688	GTEX-11ZTT_Blood	GTEX-11ZTT
689	GTEX-11ZTT_Skin	GTEX-11ZTT
690	GTEX-11ZTT_Blood_Vessel	GTEX-11ZTT
691	GTEX-11ZTT_Heart	GTEX-11ZTT
692	GTEX-11ZTT_Lung	GTEX-11ZTT
693	GTEX-11ZTT_Esophagus	GTEX-11ZTT
694	GTEX-11ZTT_Thyroid	GTEX-11ZTT
695	GTEX-11ZTT_Colon	GTEX-11ZTT
696	GTEX-11ZTT_Uterus	GTEX-11ZTT
697	GTEX-11ZTT_Ovary	GTEX-11ZTT
698	GTEX-11ZTT_Salivary_Gland	GTEX-11ZTT
699	GTEX-11ZTT_Breast	GTEX-11ZTT
700	GTEX-11ZTT_Adipose_Tissue	GTEX-11ZTT
701	GTEX-11ZTT_Muscle	GTEX-11ZTT
702	GTEX-11ZU8_Blood	GTEX-11ZU8
703	GTEX-11ZU8_Skin	GTEX-11ZU8
704	GTEX-11ZU8_Brain	GTEX-11ZU8
705	GTEX-11ZU8_Colon	GTEX-11ZU8
706	GTEX-11ZU8_Esophagus	GTEX-11ZU8
707	GTEX-11ZU8_Muscle	GTEX-11ZU8
708	GTEX-11ZU8_Adipose_Tissue	GTEX-11ZU8
709	GTEX-11ZU8_Nerve	GTEX-11ZU8
739	GTEX-1211K_Blood	GTEX-1211K
740	GTEX-1211K_Skin	GTEX-1211K
741	GTEX-1211K_Adrenal_Gland	GTEX-1211K
742	GTEX-1211K_Heart	GTEX-1211K
743	GTEX-1211K_Blood_Vessel	GTEX-1211K
744	GTEX-1211K_Spleen	GTEX-1211K
745	GTEX-1211K_Thyroid	GTEX-1211K
746	GTEX-1211K_Lung	GTEX-1211K
747	GTEX-1211K_Esophagus	GTEX-1211K
748	GTEX-1211K_Pancreas	GTEX-1211K
749	GTEX-1211K_Adipose_Tissue	GTEX-1211K
750	GTEX-1211K_Stomach	GTEX-1211K
751	GTEX-1211K_Colon	GTEX-1211K
